Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X01776,Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,Unknown,Unknown,49G,TINKERBELL,Non-Fatal,Substantial,Airplane,N1549Q,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,02-01-1983
20020917X02333,Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,Unknown,Unknown,VNY,VAN NUYS,Incident,Minor,Airplane,N5018P,Piper,PA-24-180,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,03-01-1983
20020917X02255,Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,Unknown,Unknown,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N28912,Grumman,AA-5B,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,2.0,1.0,0.0,0.0,IMC,Descent,Probable Cause,03-01-1983
20020917X01905,Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Unknown,Unknown,Unknown,HANOVER COUNTY,Fatal(8),Destroyed,Airplane,N2620L,Cessna,414A,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,Business,Unknown,8.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983
20020917X01720,Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,Unknown,Unknown,SOP,MOORE COUNTY,Fatal(1),Destroyed,Airplane,N10VS,Beechcraft,BE-58,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983
20020917X02483,Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,Unknown,Unknown,HPN,WESTCHESTER COUNTY,Non-Fatal,Substantial,Airplane,N7125D,Maule,M-5-235C,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,03-01-1983
20020917X02340,Accident,MIA82DA030,1982-01-03,"COCOA, FL",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N94252,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,1.0,1.0,VMC,Descent,Probable Cause,03-01-1983
20020917X02155,Accident,LAX82DA035,1982-01-03,"SAN CLEMENTINE, CA",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N8630V,Bellanca,7GCBC,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,03-01-1983
20020917X01992,Accident,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,Unknown,Unknown,Unknown,OAK GROVE,Non-Fatal,Substantial,Airplane,N71054,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,03-01-1983
20020917X01960,Accident,DEN82DTI09,1982-01-03,"GREENOUGH, MT",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Substantial,Airplane,N23069,Air Tractor,AT-301,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Ferry,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,03-01-1983
20020917X02618,Accident,SEA82FA015,1982-01-04,"PLEASANT HILL, OR",United States,Unknown,Unknown,Unknown,Unknown,Fatal(4),Destroyed,Airplane,N8265A,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,4.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,04-01-1983
20020917X02254,Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,Unknown,Unknown,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N1956H,Piper,PA-34-200T,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Lang Air Service,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,04-01-1983
20020917X01880,Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,Unknown,Unknown,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N2CU,Cessna,T337G,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,2.0,2.0,0.0,0.0,IMC,Cruise,Probable Cause,04-01-1983
20020917X01991,Accident,FTW82DA035,1982-01-04,"ESTANCIA, NM",United States,Unknown,Unknown,E92,ESTANCIA MUNICIPAL,Non-Fatal,Substantial,Airplane,N32335,Piper,PA-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,04-01-1983
